feature_index,feature_name,component,feature_type,importance
2908,cxz_415,415,off_diagonal,0.0006069514
3033,cxy_433,433,off_diagonal,0.0006067143
2681,w_383,383,weight,0.0006060847
336,w_48,48,weight,0.0006051511
2569,w_367,367,weight,0.00060114934
1286,cyz_183,183,off_diagonal,0.00060082786
1170,cxx_167,167,diagonal,0.0005976863
259,w_37,37,weight,0.00059594575
229,cyz_32,32,off_diagonal,0.0005934048
787,cxz_112,112,off_diagonal,0.00058033474
1494,cxz_213,213,off_diagonal,0.000580096
869,cxx_124,124,diagonal,0.00057570805
3280,cyy_468,468,diagonal,0.0005717344
3186,cxx_455,455,diagonal,0.00057057303
868,w_124,124,weight,0.0005652501
194,cyz_27,27,off_diagonal,0.0005645163
1924,czz_274,274,diagonal,0.0005642469
2737,w_391,391,weight,0.0005640766
2626,cxx_375,375,diagonal,0.0005598424
1405,cyz_200,200,off_diagonal,0.0005594939
492,cxy_70,70,off_diagonal,0.0005579481
1714,czz_244,244,diagonal,0.0005515386
1561,w_223,223,weight,0.00055097643
1996,cxx_285,285,diagonal,0.0005503166
142,cxy_20,20,off_diagonal,0.0005491547
2226,w_318,318,weight,0.0005433296
739,cyy_105,105,diagonal,0.0005423344
2164,cxx_309,309,diagonal,0.000538929
2808,cxx_401,401,diagonal,0.0005363926
651,w_93,93,weight,0.00053578976
69,czz_9,9,diagonal,0.00053328136
1902,cyz_271,271,off_diagonal,0.00052928424
1610,w_230,230,weight,0.000527805
485,cxy_69,69,off_diagonal,0.00052530394
1713,cyz_244,244,off_diagonal,0.0005230149
1415,cxx_202,202,diagonal,0.0005214181
1404,cyy_200,200,diagonal,0.0005212515
2244,cyy_320,320,diagonal,0.00051792833
3211,cyz_458,458,off_diagonal,0.0005175316
1054,cyy_150,150,diagonal,0.0005172685
747,cyz_106,106,off_diagonal,0.00051694433
204,cxx_29,29,diagonal,0.0005149053
2329,cyz_332,332,off_diagonal,0.0005130516
2058,w_294,294,weight,0.00051110005
3056,cyy_436,436,diagonal,0.00050984666
779,cxy_111,111,off_diagonal,0.0005056325
2593,cxz_370,370,off_diagonal,0.00050386175
1884,cxx_269,269,diagonal,0.00050078006
3443,czz_491,491,diagonal,0.0005007256
672,w_96,96,weight,0.00049810257
1828,cxx_261,261,diagonal,0.00049708935
1253,w_179,179,weight,0.0004923856
1018,cxz_145,145,off_diagonal,0.00048692696
2704,cxy_386,386,off_diagonal,0.00047064634
2389,cxy_341,341,off_diagonal,0.0004699918
688,cxy_98,98,off_diagonal,0.00046752184
400,cxx_57,57,diagonal,0.00045873874
1242,cxz_177,177,off_diagonal,0.00045564832
2849,w_407,407,weight,0.0004531215
558,cyz_79,79,off_diagonal,0.00044212208
