feature_index,feature_name,component,feature_type,coefficient,abs_coefficient,nonzero
2175,cyz_310,310,off_diagonal,-0.0,0.0,False
2176,czz_310,310,diagonal,0.0,0.0,False
2177,w_311,311,weight,-0.0,0.0,False
2178,cxx_311,311,diagonal,0.0,0.0,False
2179,cxy_311,311,off_diagonal,-0.0,0.0,False
2182,cyz_311,311,off_diagonal,-0.0,0.0,False
2183,czz_311,311,diagonal,-0.0,0.0,False
2184,w_312,312,weight,0.0,0.0,False
2161,cyz_308,308,off_diagonal,-0.0,0.0,False
2160,cyy_308,308,diagonal,-0.0,0.0,False
2159,cxz_308,308,off_diagonal,-0.0,0.0,False
2146,cyy_306,306,diagonal,0.0,0.0,False
2137,cxy_305,305,off_diagonal,-0.0,0.0,False
2138,cxz_305,305,off_diagonal,0.0,0.0,False
2139,cyy_305,305,diagonal,0.0,0.0,False
2141,czz_305,305,diagonal,0.0,0.0,False
2143,cxx_306,306,diagonal,0.0,0.0,False
2144,cxy_306,306,off_diagonal,-0.0,0.0,False
2145,cxz_306,306,off_diagonal,-0.0,0.0,False
2148,czz_306,306,diagonal,-0.0,0.0,False
2158,cxy_308,308,off_diagonal,-0.0,0.0,False
2149,w_307,307,weight,-0.0,0.0,False
2150,cxx_307,307,diagonal,0.0,0.0,False
2152,cxz_307,307,off_diagonal,-0.0,0.0,False
2154,cyz_307,307,off_diagonal,-0.0,0.0,False
2155,czz_307,307,diagonal,0.0,0.0,False
2156,w_308,308,weight,-0.0,0.0,False
2157,cxx_308,308,diagonal,0.0,0.0,False
2086,w_298,298,weight,-0.0,0.0,False
2084,cyz_297,297,off_diagonal,-0.0,0.0,False
2186,cxy_312,312,off_diagonal,-0.0,0.0,False
2009,w_287,287,weight,0.0,0.0,False
2011,cxy_287,287,off_diagonal,-0.0,0.0,False
2012,cxz_287,287,off_diagonal,0.0,0.0,False
2013,cyy_287,287,diagonal,-0.0,0.0,False
2014,cyz_287,287,off_diagonal,-0.0,0.0,False
2015,czz_287,287,diagonal,0.0,0.0,False
2017,cxx_288,288,diagonal,0.0,0.0,False
2018,cxy_288,288,off_diagonal,0.0,0.0,False
2019,cxz_288,288,off_diagonal,0.0,0.0,False
2020,cyy_288,288,diagonal,-0.0,0.0,False
2021,cyz_288,288,off_diagonal,-0.0,0.0,False
2022,czz_288,288,diagonal,-0.0,0.0,False
2023,w_289,289,weight,-0.0,0.0,False
2024,cxx_289,289,diagonal,-0.0,0.0,False
2025,cxy_289,289,off_diagonal,-0.0,0.0,False
2026,cxz_289,289,off_diagonal,-0.0,0.0,False
2027,cyy_289,289,diagonal,-0.0,0.0,False
2029,czz_289,289,diagonal,-0.0,0.0,False
2010,cxx_287,287,diagonal,-0.0,0.0,False
